column,missing_count,fill_rate_pct,min,max,mean,median,std,outlier_count
paid_views,0,100.0,1.0,518190.0,15093.94,2699.0,30785.88,295
organic_views,0,100.0,1.0,270453.0,13355.67,4110.0,24079.4,254
google_impressions,0,100.0,7.0,17150439.0,886173.83,490531.0,1355075.82,286
email_impressions,0,100.0,40894.45,7317730.25,760509.38,590970.8,626014.12,166
facebook_impressions,0,100.0,29.0,7558435.0,269126.89,127523.0,466511.67,305
affiliate_impressions,0,100.0,910.0,175791.0,22910.9,16658.0,21617.64,255
overall_views,0,100.0,2.0,635057.0,27980.91,7879.0,52054.98,250
sales,0,100.0,15436.0,3575430.0,185901.4,113573.0,232207.9,286
